"Gene","Median_R","P_value","FDR"
"ENSG00000169026",0.28715178288785,0.000146663242512254,0.0028672943447186
"ENSG00000114503",0.28709314285622,0.000147142789513555,0.0028757560615504
"ENSG00000174021",0.28708496702141,0.000147209766028636,0.00287615169538614
"ENSG00000139324",0.287069494628715,0.000147336593877318,0.00287771606905289
"ENSG00000120129",0.287044703768685,0.000147540018166849,0.00288022621613678
"ENSG00000081019",0.286921130623777,0.000148557926708265,0.00289706216185266
"ENSG00000167635",0.286801800248715,0.000149547101920927,0.00291257178500682
"ENSG00000112739",0.286789416965748,0.000149650102880763,0.00291365578351587
"ENSG00000175899",0.286628125579943,0.00015099774263291,0.00293710653369147
"ENSG00000102189",0.286615169609774,0.000151106483596109,0.00293711700088438
"ENSG00000177045",0.286605323001558,0.000151189176179672,0.00293711700088438
"ENSG00000025434",0.286481679326878,0.00015223114526288,0.0029545612122544
"ENSG00000167693",0.28646588053381,0.000152364766368773,0.00295622231443876
"ENSG00000167930",0.286284099006837,0.000153910108366361,0.0029838312087521
"ENSG00000172638",0.286213020095736,0.000154518323264616,0.0029932879090329
"ENSG00000100926",0.28615552125484,0.000155011974484486,0.00300096160983743
"ENSG00000111877",0.286064407968442,0.000155797232967285,0.00301237351735425
"ENSG00000165288",0.285808050273673,0.000158026599587763,0.00304877399530698
"ENSG00000103335",0.285623980167648,0.00015964564269394,0.00307518980718493
"ENSG00000074660",0.285592333136384,0.000159925557127632,0.00307961779970681
"ENSG00000167766",0.285575242063509,0.000160076916011356,0.00308156825742974
"ENSG00000079335",0.2855619343873,0.000160194861550968,0.00308287447132357
"ENSG00000166881",0.285445517177291,0.000161230124809477,0.00309892154942988
"ENSG00000140043",0.285436134751953,0.00016131383098521,0.0030995624146593
"ENSG00000185043",0.285362182771807,0.000161975020328442,0.00310760717331689
"ENSG00000140577",0.285358082456734,0.00016201175423632,0.00310760717331689
"ENSG00000166037",0.285349800822723,0.000162085971440713,0.00310760717331689
"ENSG00000273007",0.285289491922653,0.000162627396224315,0.00311701665313898
"ENSG00000279118",0.28526287973296,0.000162866843722804,0.00312016064937728
"ENSG00000196975",0.285259994107742,0.000162892827350338,0.00312016064937728
"ENSG00000094975",0.285251641213178,0.000162968062823522,0.00312063050977313
"ENSG00000185633",0.284932962021202,0.000165862760205516,0.00317014214723238
"ENSG00000176641",0.284794263161407,0.000167137531860845,0.00319153343495001
"ENSG00000170802",0.284761633710689,0.000167438751130163,0.00319629357926637
"ENSG00000047617",0.284611767264047,0.000168828757061037,0.00321883427031117
"ENSG00000147592",0.284603034517575,0.00016891008371325,0.00321938748592389
"ENSG00000175548",0.284564065862338,0.000169273437763662,0.00322531407236124
"ENSG00000166750",0.284532685749337,0.000169566563707438,0.00322913265243233
"ENSG00000225217",0.284492069382278,0.000169946669356614,0.00323513696841431
"ENSG00000170836",0.28444749806222,0.000170364701119375,0.00323975792447884
"ENSG00000282608",0.284443741172793,0.000170399980526745,0.00323975792447884
"ENSG00000076258",0.284423137779834,0.000170593579649481,0.00324200478192952
"ENSG00000086666",0.284419954121535,0.000170623513074706,0.00324200478192952
"ENSG00000133561",0.284376533430632,0.000171032252578528,0.00324676401995464
"ENSG00000116691",0.284319213510878,0.000171573229864226,0.00325602925031265
"ENSG00000171606",0.284285811931126,0.000171889204296462,0.00326102009532104
"ENSG00000164708",0.284166238299981,0.000173024806487437,0.00327953147227066
"ENSG00000174130",0.284036510431501,0.000174264750653455,0.00329841881531883
"ENSG00000079150",0.284033955237032,0.00017428925626246,0.00329841881531883
"ENSG00000164035",0.284016243001795,0.000174459213881628,0.00330062030714138
"ENSG00000289161",0.283897023999463,0.000175607203798871,0.0033202979264509
"ENSG00000133858",0.283857843828927,0.000175986013923325,0.00332643834179886
"ENSG00000151062",0.283810033050305,0.000176449299946958,0.00333387234243333
"ENSG00000135362",0.283806080329328,0.000176487652600542,0.00333387234243333
"ENSG00000279302",0.283756405134265,0.000176970306260653,0.00334179070110104
"ENSG00000128708",0.283746188006292,0.000177069730214001,0.00334179070110104
"ENSG00000172086",0.283673993477434,0.00017777374756315,0.00334994106553169
