"Gene","Median_R","P_value","FDR"
"ENSG00000156976.17",-0.107803782473205,0.161722916264702,0.583792313836286
"ENSG00000241461.3",-0.107805293335693,0.161717003442673,0.583792313836286
"ENSG00000270665.1",-0.107817687035614,0.161668506297291,0.583732857234408
"ENSG00000269765.2",-0.107819261057316,0.161662347853341,0.583732857234408
"ENSG00000181649.8",-0.107838448104698,0.161587291616529,0.583542323392068
"ENSG00000196767.9",-0.107838879258141,0.161585605322347,0.583542323392068
"ENSG00000239467.7",-0.107841126186198,0.161576817523293,0.583542323392068
"ENSG00000280062.1",-0.107870609880992,0.161461539092992,0.583225082870004
"ENSG00000273289.1",-0.107879125816318,0.161428254058478,0.583207541401523
"ENSG00000287085.1",-0.107907576060989,0.161317091837183,0.582869745971306
"ENSG00000260261.2",-0.107910507756385,0.161305640226971,0.582869745971306
"ENSG00000224093.6",-0.107943419442987,0.161177124351795,0.582539637133361
"ENSG00000279894.1",-0.107948127352052,0.161158746844271,0.582507424430833
"ENSG00000287466.1",-0.107957162718839,0.161123481329893,0.582448372097912
"ENSG00000282924.1",-0.107968280622295,0.161080095492623,0.58232573995524
"ENSG00000270760.1",-0.107968879875796,0.161077757250251,0.58232573995524
"ENSG00000213171.3",-0.107974123489599,0.161057298145046,0.582311735227276
"ENSG00000198804.2",-0.108011685354096,0.160910799198219,0.581987201801551
"ENSG00000241420.3",-0.108015472740465,0.160896033156516,0.581967996743146
"ENSG00000185985.11",-0.108017250039762,0.160889104275143,0.581967996743146
"ENSG00000286966.1",-0.108037024675142,0.160812027039129,0.58180091658904
"ENSG00000258726.1",-0.108045703011367,0.160778209499495,0.58174696486783
"ENSG00000174407.14",-0.108048870421989,0.160765868133701,0.581736511548713
"ENSG00000225421.2",-0.10805418945136,0.160745144886811,0.581695725108125
"ENSG00000230912.1",-0.108062336267106,0.160713408298522,0.581615077050703
"ENSG00000227364.1",-0.108072207635855,0.160674959860234,0.581510128176315
"ENSG00000224008.1",-0.10808923090395,0.160608671350297,0.581338591400499
"ENSG00000122254.7",-0.108104867191998,0.160547801781224,0.58115244752521
"ENSG00000286502.1",-0.108113341395044,0.160514820283989,0.58106723719533
"ENSG00000213316.10",-0.108113846063039,0.160512856282286,0.58106723719533
"ENSG00000069345.12",-0.10811470745612,0.16050950406556,0.58106723719533
"ENSG00000103044.11",-0.108119844342127,0.160489514332933,0.58106723719533
"ENSG00000263745.7",-0.10812153855877,0.160482921849262,0.58106723719533
"ENSG00000213221.5",-0.108124589403598,0.160471051007222,0.58106723719533
"ENSG00000281131.1",-0.10813574882898,0.160427635268101,0.58099451744523
"ENSG00000265751.1",-0.108144069256158,0.160395270376148,0.580942003297412
"ENSG00000241754.2",-0.108157644409785,0.160342476089461,0.580853337362399
"ENSG00000230312.2",-0.108172937893389,0.160283014746668,0.580706296554361
"ENSG00000259218.6",-0.108174420000993,0.160277253163426,0.580706296554361
"ENSG00000243424.2",-0.108176842325314,0.160267836891532,0.580706296554361
"ENSG00000260190.1",-0.108193603412571,0.160202693075321,0.580551995679654
"ENSG00000236604.1",-0.108250748115497,0.159980742986382,0.579850108736977
"ENSG00000264598.1",-0.108251577634401,0.159977522831566,0.579850108736977
"ENSG00000220130.1",-0.108253757903346,0.159969059357855,0.579850108736977
"ENSG00000275645.1",-0.108271684644029,0.159899483186987,0.579692141450279
"ENSG00000253208.1",-0.108285062232437,0.159847577685186,0.579572247028224
"ENSG00000255757.1",-0.108292846089062,0.159817381866182,0.579496903881005
"ENSG00000286681.1",-0.108310178159954,0.15975016113446,0.579355563751281
"ENSG00000187682.2",-0.108317135045405,0.159723185499343,0.579291869195094
"ENSG00000278986.1",-0.108327601908817,0.159682606199941,0.579178825787905
"ENSG00000273064.1",-0.108329109834508,0.15967676071408,0.579178825787905
"ENSG00000013392.8",-0.108332065958386,0.159665301741911,0.579178825787905
"ENSG00000179542.16",-0.10833288864999,0.159662112810568,0.579178825787905
"ENSG00000225493.1",-0.108352843274415,0.159584778973301,0.579028748799246
"ENSG00000156968.9",-0.108373337755962,0.159505382158869,0.578808917428385
"ENSG00000225183.1",-0.10837771120803,0.159488442985422,0.578808917428385
"ENSG00000253138.5",-0.108382342720145,0.159470505768884,0.578784738281549
"ENSG00000234678.2",-0.108384090755978,0.159463736256956,0.578784738281549
"ENSG00000276669.1",-0.108384556556454,0.159461932416171,0.578784738281549
"ENSG00000122550.18",-0.10842042285747,0.15932308390627,0.578386119030702
"ENSG00000090534.20",-0.108420520433718,0.159322706284931,0.578386119030702
"ENSG00000163635.20",-0.108423344634511,0.159311776882088,0.578386119030702
"ENSG00000287191.2",-0.108423957913478,0.159309403621981,0.578386119030702
"ENSG00000276088.1",-0.108448055121481,0.159216173496967,0.578168526179924
"ENSG00000167674.15",-0.108450136340806,0.159208123349431,0.578168526179924
"ENSG00000267117.1",-0.108453906247986,0.159193542141542,0.578154570846163
"ENSG00000249485.1",-0.108454925400268,0.159189600446866,0.578154570846163
"ENSG00000259390.4",-0.108456064874919,0.159185193477536,0.578154570846163
"ENSG00000234758.1",-0.108460002666618,0.159169964595825,0.578154570846163
"ENSG00000286433.1",-0.108471162850566,0.159126810015562,0.578048659874733
"ENSG00000124467.19",-0.108482828740858,0.159081709332519,0.577953053079134
"ENSG00000288831.1",-0.108491890706362,0.159046682116853,0.577867654688658
"ENSG00000231995.2",-0.108501405925852,0.159009909163869,0.577828640150044
"ENSG00000270906.1",-0.108505012617264,0.158995972245714,0.577812111951002
"ENSG00000283052.1",-0.108505929181949,0.158992430617393,0.577812111951002
"ENSG00000169122.12",-0.108506266882855,0.158991125747765,0.577812111951002
"ENSG00000288750.1",-0.108515380124211,0.158955915396004,0.577803015600478
"ENSG00000258524.1",-0.108525247448086,0.158917798129752,0.577698580513732
"ENSG00000287667.1",-0.10853823487727,0.158867638412199,0.57761859387017
"ENSG00000213590.2",-0.108540523866728,0.158858799166556,0.57761859387017
"ENSG00000253942.1",-0.108574630993401,0.158727133530965,0.577175935363647
"ENSG00000216687.2",-0.108582073059457,0.158698415392751,0.57714208344796
"ENSG00000249167.2",-0.108586669563621,0.158680679921288,0.57714208344796
"ENSG00000214820.3",-0.10859346962619,0.158654444813777,0.57708210115952
"ENSG00000219627.1",-0.108597603039734,0.158638499411176,0.577058207208547
"ENSG00000080709.16",-0.108599740936377,0.15863025255361,0.577058207208547
"ENSG00000265790.1",-0.108607095670887,0.158601884392492,0.576993224156265
"ENSG00000258399.7",-0.108607364642162,0.158600847007681,0.576993224156265
"ENSG00000279375.1",-0.108608318956428,0.158597166391317,0.576993224156265
"ENSG00000285723.1",-0.108643523889901,0.15846143215454,0.576720897724365
"ENSG00000259805.1",-0.108644173596812,0.158458927999119,0.576720897724365
"ENSG00000226094.1",-0.108648461884176,0.158442400463395,0.576719842330209
"ENSG00000286872.1",-0.108652229247006,0.158427881696019,0.576701103158442
"ENSG00000237951.1",-0.108664501632753,0.158380592957974,0.576563067136255
"ENSG00000162621.7",-0.108694368159872,0.158265553608067,0.576314728788528
"ENSG00000287151.1",-0.108703745940617,0.158229445380279,0.576217336478336
"ENSG00000249278.1",-0.108729489530742,0.158130353985182,0.575992809284093
"ENSG00000286967.1",-0.10873663566509,0.158102855576383,0.575926732381943
"ENSG00000287514.2",-0.108749795842319,0.158052224451044,0.575810460049431
"ENSG00000214203.4",-0.108756995537138,0.158024530229366,0.575743647196077
"ENSG00000248988.1",-0.108757439702754,0.158022821828877,0.575743647196077
"ENSG00000243539.3",-0.10875882927596,0.158017477183333,0.575743647196077
"ENSG00000051596.10",-0.10877151058122,0.157968707985843,0.575676584810559
"ENSG00000260159.1",-0.108790108335345,0.157897206009697,0.575518249728208
"ENSG00000249691.1",-0.108790309714956,0.157896431907252,0.575518249728208
"ENSG00000229246.2",-0.108804504659012,0.157841873775004,0.575384723071068
"ENSG00000163795.14",-0.108815983744285,0.157797764370856,0.575258003224734
"ENSG00000177971.9",-0.108836138616036,0.157720339876536,0.575043874251275
"ENSG00000146072.6",-0.108846032988419,0.157682341303233,0.574939392924117
"ENSG00000229688.8",-0.10886122573415,0.157624008117056,0.574760751010551
"ENSG00000267741.1",-0.108884192723536,0.157535856159736,0.574473350210037
"ENSG00000272439.1",-0.108902914085723,0.157464027171139,0.574279471894553
"ENSG00000100253.13",-0.108903226616523,0.157462828280648,0.574279471894553
"ENSG00000131467.12",-0.108909625966389,0.157438281424198,0.57425363551063
"ENSG00000103154.10",-0.108910695565128,0.15743417889919,0.57425363551063
"ENSG00000247675.8",-0.108927490363629,0.157369771735264,0.574206011290568
"ENSG00000175505.11",-0.108933664280875,0.157346100064295,0.574155601942191
"ENSG00000107281.10",-0.108933853497816,0.157345374622052,0.574155601942191
"ENSG00000253947.1",-0.108939172801175,0.157324981876778,0.574146625037025
"ENSG00000134962.7",-0.108957466267659,0.157254864912523,0.573958807150773
"ENSG00000279347.1",-0.108965484405364,0.157224139619948,0.573880697987668
"ENSG00000253484.1",-0.108971826122467,0.15719984152076,0.573826040720856
"ENSG00000289496.1",-0.108974249285735,0.15719055798808,0.573826040720856
"ENSG00000228423.2",-0.108982781050593,0.157157874686529,0.57377494451609
"ENSG00000260773.1",-0.108984713150209,0.157150473949761,0.57377494451609
"ENSG00000243970.4",-0.108986200763596,0.15714477595658,0.57377494451609
