"Gene","R","P","FDR"
"ENSG00000126870.16",0.356484626238832,1.96357172651472e-06,0.000238663218031835
"ENSG00000127951.8",0.324035814998951,1.72549783475571e-05,0.000959168408650339
"ENSG00000128016.7",0.300743653856488,7.09653793440672e-05,0.0025426424985576
"ENSG00000128340.15",0.397306020170346,8.87073013060216e-08,3.5209868360576e-05
"ENSG00000128918.15",0.30798594534276,4.62981659031641e-05,0.00189085580134739
"ENSG00000129009.13",0.325889610248344,1.53395703319053e-05,0.000879618747497497
"ENSG00000129422.15",0.306448416750447,5.07398387459182e-05,0.00201083326624424
"ENSG00000129538.14",0.377751927738474,4.1227721626748e-07,9.18691063582702e-05
"ENSG00000129566.13",0.334924104581127,8.54984340384275e-06,0.000587004518885993
"ENSG00000129667.13",0.342193408384276,5.27014588474848e-06,0.000443303032815449
"ENSG00000130340.17",0.356638787033888,1.94225567907075e-06,0.000238663218031835
"ENSG00000130429.16",0.390988544078024,1.47323425432056e-07,4.68772852001765e-05
"ENSG00000130449.6",0.30243160694145,6.43058745248863e-05,0.00239174543273161
"ENSG00000130600.20",0.385680481161387,2.23797836612452e-07,6.17949613420231e-05
"ENSG00000130775.16",0.305074716688286,5.50438402925457e-05,0.00213477660297945
"ENSG00000131042.15",0.311424730459191,3.7651303883132e-05,0.00164859272794324
"ENSG00000131196.18",0.353954597453856,2.34687270636189e-06,0.000264294061411279
"ENSG00000131389.18",0.337371496789358,7.27447151129401e-06,0.000552015767332866
"ENSG00000131459.13",0.3647498370373,1.08484068860995e-06,0.000160759780151031
"ENSG00000131471.7",0.33433729802933,8.88568534587578e-06,0.000600327300109794
"ENSG00000131873.7",0.321320573876524,2.04720488350792e-05,0.00106561252521408
"ENSG00000132386.11",0.392332545171679,1.32368931234688e-07,4.54401075696591e-05
"ENSG00000133246.12",0.300440506138433,7.2227841144872e-05,0.00257697169747638
"ENSG00000133321.11",0.336680330868644,7.6150864303763e-06,0.000565097500487042
"ENSG00000133657.17",0.329192923901347,1.2414382862786e-05,0.000769176994788664
"ENSG00000133800.9",0.379649066375322,3.56727813048759e-07,8.46911835035292e-05
"ENSG00000134013.16",0.378627171278509,3.85693115830806e-07,8.90705656495451e-05
"ENSG00000134152.11",0.304080412872688,5.8370458727653e-05,0.00222306561178196
"ENSG00000134324.12",0.311537540523485,3.73951960975928e-05,0.00164067386263757
"ENSG00000134516.20",0.353403349266502,2.43935228213862e-06,0.000272981788648314
"ENSG00000134531.10",0.360919903381315,1.43109210892746e-06,0.000195451789478948
"ENSG00000134830.6",0.372955563873875,5.92007301632822e-07,0.000114799705979989
"ENSG00000135046.14",0.391882941309615,1.37201789929915e-07,4.58876353039091e-05
"ENSG00000135047.16",0.354776863149999,2.21510140614866e-06,0.000255773731910884
"ENSG00000135077.10",0.431716881471307,4.6172325156964e-09,4.34413176282355e-06
"ENSG00000135218.19",0.345027117070425,4.34977154894023e-06,0.000383670995339336
"ENSG00000135245.10",0.409479020940306,3.23819159063036e-08,1.71374543701631e-05
"ENSG00000135821.19",0.312582210107211,3.51001504416692e-05,0.00156704590803115
"ENSG00000135838.14",0.306453411498481,5.07247826782979e-05,0.00201083326624424
"ENSG00000136235.17",0.370478888130239,7.12007015548337e-07,0.00012388434394503
"ENSG00000136286.16",0.365314737450308,1.04109369297883e-06,0.000157468285505857
"ENSG00000137098.14",0.356596719338559,1.94805048597686e-06,0.000238663218031835
"ENSG00000137198.10",0.391866093417666,1.37386138535858e-07,4.58876353039091e-05
"ENSG00000137462.9",0.366945451862693,9.24048378713638e-07,0.000149513381939252
"ENSG00000138119.17",0.369544337002124,7.63058891681938e-07,0.000130972871793218
"ENSG00000138135.7",0.308007548908436,4.62384424911508e-05,0.00189085580134739
"ENSG00000138356.14",0.304123147876559,5.82236837268193e-05,0.00222080516173032
"ENSG00000138722.10",0.305725600166414,5.29634896885223e-05,0.00207949231616311
"ENSG00000138780.15",0.335444809353471,8.26193237484455e-06,0.000575007857858017
"ENSG00000139083.11",0.351061579629187,2.87228896503902e-06,0.000304873338462973
"ENSG00000139679.16",0.371803916646735,6.45182851872125e-07,0.000123229924707576
"ENSG00000140481.15",0.383918166852722,2.56707983942229e-07,6.86437149061522e-05
"ENSG00000140575.13",0.33859415611401,6.70700847178125e-06,0.000519445537221521
"ENSG00000141338.15",0.367961243943615,8.57603858871584e-07,0.000141465654720226
"ENSG00000141458.13",0.300372134520134,7.25154700552909e-05,0.00258360516944538
"ENSG00000141469.18",0.346482447082913,3.93857759091025e-06,0.000367837082874607
"ENSG00000141655.17",0.301198211499113,6.91110758918039e-05,0.00248919785254212
"ENSG00000142089.17",0.378368394788148,3.93377362942738e-07,9.00267130705798e-05
"ENSG00000142347.19",0.357164379244102,1.87122495057753e-06,0.000233677010198529
"ENSG00000142583.18",0.363999613941577,1.14565530131961e-06,0.000163500458536079
"ENSG00000142733.17",0.311018480694512,3.85873307143367e-05,0.00167561361048939
"ENSG00000142961.16",0.379403620497369,3.63488805740455e-07,8.54972790020812e-05
"ENSG00000143110.12",0.387122905816583,1.99906823636999e-07,5.90492214052405e-05
"ENSG00000143178.13",0.330450207474529,1.1446446893894e-05,0.000726935226113972
"ENSG00000143226.15",0.433206795208704,4.03169797918698e-09,4.09668895061147e-06
"ENSG00000143669.15",0.32042038520322,2.16580606321714e-05,0.0011070014371007
"ENSG00000144134.19",0.338795359789337,6.61774415552044e-06,0.00051720925480228
"ENSG00000144619.15",0.328453964174906,1.30188715376211e-05,0.000802714547743175
"ENSG00000144649.10",0.358123620672818,1.74791797446616e-06,0.000227704411822379
"ENSG00000145020.16",0.314618647982526,3.10021384802276e-05,0.00142768515731396
"ENSG00000145623.13",0.458050822753895,3.80521217201859e-10,7.43567729275295e-07
"ENSG00000147852.17",0.30118116933229,6.91797694719025e-05,0.00248919785254212
"ENSG00000148175.13",0.350133385884703,3.06333714815222e-06,0.000317624300304126
"ENSG00000148848.15",0.331576441403112,1.06404243806479e-05,0.000689537501381631
"ENSG00000149090.13",0.350285400237127,3.03124231111303e-06,0.000315584624709854
"ENSG00000149131.17",0.309657800149858,4.18843443849439e-05,0.00176449087961979
"ENSG00000149201.10",0.391549197740549,1.40898144065855e-07,4.58876353039091e-05
"ENSG00000149781.13",0.399283542041614,7.55174626093194e-08,3.09414532687829e-05
"ENSG00000150471.17",0.41479995107052,2.05799440948643e-08,1.27510321912644e-05
"ENSG00000150687.12",0.326216146522944,1.50237165815356e-05,0.000869356428976648
"ENSG00000150995.21",0.357816333750886,1.78655056838043e-06,0.000231549714737592
